fullyQualifiedClassName,baselineFlag,sonarFlag,jdeodorantFlag,wmc,tcc,atfd,cbo,loc,godClass,usedCboFallback,methodCount,fieldCount,dependencyTypeCount,reasons
org.jfree.chart.internal.for,true,false,false,,,,,,false,false,10,0,6,DEPENDENCY_TYPES>5
org.jfree.chart.labels.BoxAndWhiskerToolTipGenerator,true,false,false,,,,,,false,false,6,9,19,DEPENDENCY_TYPES>5
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGenerator,true,false,false,,,,,,false,false,5,9,21,DEPENDENCY_TYPES>5
org.jfree.chart.labels.CustomXYToolTipGenerator,true,false,false,,,,,,false,false,16,21,15,DEPENDENCY_TYPES>5
org.jfree.chart.labels.HighLowItemLabelGenerator,true,false,false,,,,,,false,false,16,25,25,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.labels.IntervalCategoryItemLabelGenerator,true,false,false,,,,,,false,false,4,8,13,DEPENDENCY_TYPES>5
org.jfree.chart.labels.IntervalCategoryToolTipGenerator,true,false,false,,,,,,false,false,7,10,12,DEPENDENCY_TYPES>5
org.jfree.chart.labels.IntervalXYItemLabelGenerator,true,false,false,,,,,,false,false,16,21,17,DEPENDENCY_TYPES>5
org.jfree.chart.labels.IntervalXYToolTipGenerator,true,false,false,,,,,,false,false,16,21,17,DEPENDENCY_TYPES>5
org.jfree.chart.labels.ItemLabelAnchor,true,false,false,,,,,,false,false,1,2,27,DEPENDENCY_TYPES>5
org.jfree.chart.labels.ItemLabelClip,true,false,false,,,,,,false,false,0,0,9,DEPENDENCY_TYPES>5
org.jfree.chart.labels.MultipleXYSeriesLabelGenerator,true,false,false,,,,,,false,false,13,35,25,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.labels.PieSectionLabelGenerator,true,false,false,,,,,,false,false,2,0,21,DEPENDENCY_TYPES>5
org.jfree.chart.labels.StandardCategoryItemLabelGenerator,true,false,false,,,,,,false,false,8,4,14,DEPENDENCY_TYPES>5
org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,true,false,false,,,,,,false,false,6,15,15,DEPENDENCY_TYPES>5
org.jfree.chart.labels.StandardCategoryToolTipGenerator,true,false,false,,,,,,false,false,7,4,13,DEPENDENCY_TYPES>5
org.jfree.chart.labels.StandardCrosshairLabelGenerator,true,false,false,,,,,,false,false,7,11,10,DEPENDENCY_TYPES>5
org.jfree.chart.labels.StandardPieSectionLabelGenerator,true,false,false,,,,,,false,false,9,12,36,DEPENDENCY_TYPES>5
org.jfree.chart.labels.StandardPieToolTipGenerator,true,false,false,,,,,,false,false,5,2,13,DEPENDENCY_TYPES>5
org.jfree.chart.labels.StandardXYItemLabelGenerator,true,false,false,,,,,,false,false,9,4,14,DEPENDENCY_TYPES>5
