fullyQualifiedClassName,baselineFlag,sonarFlag,jdeodorantFlag,wmc,tcc,atfd,cbo,loc,godClass,usedCboFallback,methodCount,fieldCount,dependencyTypeCount,reasons
org.joda.time.field.LenientDateTimeField,true,false,false,,,,,,false,false,6,10,9,DEPENDENCY_TYPES>5
org.joda.time.field.OffsetDateTimeField,true,false,false,,,,,,false,false,21,16,15,DEPENDENCY_TYPES>5
org.joda.time.field.PreciseDateTimeField,true,false,false,,,,,,false,false,11,10,14,DEPENDENCY_TYPES>5
org.joda.time.field.PreciseDurationDateTimeField,true,false,false,,,,,,false,false,17,8,19,DEPENDENCY_TYPES>5
org.joda.time.field.RemainderDateTimeField,true,false,false,,,,,,false,false,24,20,18,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.field.ScaledDurationField,true,false,false,,,,,,false,false,20,16,11,DEPENDENCY_TYPES>5
org.joda.time.field.SkipDateTimeField,true,false,false,,,,,,false,false,10,13,9,DEPENDENCY_TYPES>5
org.joda.time.field.SkipUndoDateTimeField,true,false,false,,,,,,false,false,9,13,7,DEPENDENCY_TYPES>5
org.joda.time.field.StrictDateTimeField,true,false,false,,,,,,false,false,6,5,9,DEPENDENCY_TYPES>5
org.joda.time.field.UnsupportedDateTimeField,true,false,false,,,,,,false,false,97,19,23,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.field.UnsupportedDurationField,true,false,false,,,,,,false,false,41,16,18,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.field.ZeroIsMaxDateTimeField,true,false,false,,,,,,false,false,29,6,12,DEPENDENCY_TYPES>5
org.joda.time.field.for,true,false,false,,,,,,false,false,35,12,28,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.field.representing,true,false,false,,,,,,false,false,27,14,13,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.field.should,true,false,false,,,,,,false,false,104,64,47,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.for,true,false,false,,,,,,false,false,12,0,10,DEPENDENCY_TYPES>5
org.joda.time.format.DateTimeFormatterBuilder,true,false,true,,,,,,false,false,359,370,139,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.format.DateTimeFormatterBuilder.Fraction,false,false,true,,,,,,false,false,0,0,0,
org.joda.time.format.DateTimeFormatterBuilder.TwoDigitYear,false,false,true,,,,,,false,false,0,0,0,
org.joda.time.format.DateTimeParserBucket,false,false,true,,,,,,false,false,0,0,0,
org.joda.time.format.DateTimePrinterInternalPrinter,true,false,false,,,,,,false,false,7,9,11,DEPENDENCY_TYPES>5
org.joda.time.format.FormatUtils,true,false,false,,,,,,false,false,48,36,17,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.format.ISODateTimeFormat,true,false,false,,,,,,false,false,209,153,67,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.format.ISOPeriodFormat,true,false,false,,,,,,false,false,11,15,16,DEPENDENCY_TYPES>5
org.joda.time.format.InternalParserDateTimeParser,true,false,false,,,,,,false,false,11,5,6,DEPENDENCY_TYPES>5
org.joda.time.format.InternalPrinterDateTimePrinter,true,false,false,,,,,,false,false,11,5,12,DEPENDENCY_TYPES>5
org.joda.time.format.PeriodFormat,true,false,false,,,,,,false,false,22,17,42,DEPENDENCY_TYPES>5
org.joda.time.format.PeriodFormatterBuilder,true,false,true,,,,,,false,false,285,376,127,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.format.allows,true,false,false,,,,,,false,false,64,99,52,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.format.for,true,false,false,,,,,,false,false,0,0,7,DEPENDENCY_TYPES>5
org.joda.time.format.is,true,false,false,,,,,,false,false,0,0,15,DEPENDENCY_TYPES>5
org.joda.time.format.provides,true,false,false,,,,,,false,false,0,0,11,DEPENDENCY_TYPES>5
org.joda.time.holds,true,false,false,,,,,,false,false,36,12,12,DEPENDENCY_TYPES>5
org.joda.time.may,true,false,false,,,,,,false,false,20,0,15,DEPENDENCY_TYPES>5
org.joda.time.of,true,false,false,,,,,,false,false,1,40,79,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.only,true,false,false,,,,,,false,false,0,0,17,DEPENDENCY_TYPES>5
org.joda.time.representing,true,false,false,,,,,,false,false,0,0,23,DEPENDENCY_TYPES>5
org.joda.time.tz.CachedDateTimeZone,true,false,false,,,,,,false,false,29,46,12,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.tz.DateTimeZoneBuilder,true,false,false,,,,,,false,false,216,392,132,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.tz.DateTimeZoneBuilder.RuleSet,false,false,true,,,,,,false,false,0,0,0,
org.joda.time.tz.DefaultNameProvider,true,false,false,,,,,,false,false,20,33,13,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.tz.FixedDateTimeZone,true,false,false,,,,,,false,false,12,20,6,DEPENDENCY_TYPES>5
org.joda.time.tz.Provider,true,false,false,,,,,,false,false,2,0,6,DEPENDENCY_TYPES>5
org.joda.time.tz.UTCProvider,true,false,false,,,,,,false,false,3,3,9,DEPENDENCY_TYPES>5
org.joda.time.tz.ZoneInfoCompiler,true,false,false,,,,,,false,false,123,248,138,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.tz.ZoneInfoProvider,true,false,true,,,,,,false,false,30,40,43,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.uses,true,false,false,,,,,,false,false,156,67,11,DEPENDENCY_TYPES>5
org.joda.time.will,true,false,false,,,,,,false,false,26,0,10,DEPENDENCY_TYPES>5
